time,frequency,confidence
0.000,32.216,0.002181
0.010,35.837,0.010130
0.020,36.405,0.197141
0.030,34.940,0.412573
0.040,68.542,0.326353
0.050,68.201,0.342495
0.060,63.677,0.113772
0.070,80.420,0.022691
0.080,207.144,0.012769
0.090,217.242,0.008132
0.100,81.681,0.027149
0.110,80.642,0.083646
0.120,81.625,0.054795
0.130,36.430,0.111375
0.140,36.205,0.547351
0.150,36.283,0.270244
0.160,35.066,0.316614
0.170,64.079,0.081191
0.180,62.907,0.046784
0.190,1865.609,0.056811
0.200,161.575,0.046511
0.210,161.282,0.133482
0.220,165.507,0.195081
0.230,167.789,0.078972
0.240,156.088,0.018695
0.250,154.612,0.042678
0.260,222.895,0.015240
0.270,35.081,0.083777
0.280,218.162,0.133864
0.290,216.466,0.129932
0.300,48.558,0.066705
0.310,40.869,0.048385
0.320,46.026,0.023211
0.330,574.216,0.096381
0.340,289.297,0.179969
0.350,296.159,0.538715
0.360,299.990,0.860521
0.370,303.555,0.914194
0.380,309.756,0.881993
0.390,317.995,0.903533
0.400,323.091,0.958141
0.410,324.092,0.965568
0.420,320.428,0.949437
0.430,316.172,0.943380
0.440,307.378,0.785338
0.450,294.165,0.528515
0.460,280.299,0.681980
0.470,267.717,0.645451
0.480,254.002,0.583392
0.490,237.708,0.396346
0.500,209.294,0.447214
0.510,197.147,0.447086
0.520,187.401,0.185557
0.530,161.377,0.236979
0.540,151.500,0.490397
0.550,144.038,0.566313
0.560,140.664,0.811987
0.570,138.441,0.844408
0.580,137.162,0.798183
0.590,138.656,0.559624
0.600,130.358,0.205449
0.610,41.527,0.099367
0.620,53.758,0.066833
0.630,275.871,0.133132
0.640,274.656,0.160026
0.650,38.073,0.194935
0.660,256.186,0.420229
0.670,252.824,0.242080
0.680,238.657,0.200349
0.690,174.913,0.275229
0.700,173.883,0.241858
0.710,170.074,0.099534
0.720,1234.263,0.087598
0.730,1232.604,0.089118
0.740,1223.278,0.089016
0.750,1159.250,0.062148
0.760,1148.422,0.039618
0.770,1150.332,0.045192
0.780,238.967,0.084566
0.790,79.175,0.135625
0.800,81.121,0.110475
0.810,164.037,0.021904
0.820,260.182,0.026183
0.830,285.053,0.039803
0.840,130.298,0.124740
0.850,131.415,0.313453
0.860,130.703,0.016340
0.870,257.952,0.027371
0.880,32.138,0.019266
0.890,154.690,0.101169
0.900,154.618,0.284774
0.910,154.017,0.078823
0.920,34.057,0.112450
0.930,34.715,0.067646
0.940,36.000,0.086052
0.950,36.779,0.016082
0.960,54.427,0.017153
0.970,55.340,0.004520
0.980,34.244,0.038217
0.990,32.983,0.121003
1.000,35.850,0.285829
1.010,32.271,0.090304
1.020,50.011,0.188765
1.030,54.438,0.197954
1.040,55.223,0.137618
